question_id,quiz_id,question_text,subtopic,student_id,module_id,module_name,attempt_number,quiz_score_percent,quiz_timestamp,quiz_duration_secs,is_correct
QN1,QZ01,How does exploratory data analysis enhance decision-making in data analytics beyond just generating static reports?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,1,40,2024-01-13 10:00:48,521,1
QN1,QZ01,How does exploratory data analysis enhance decision-making in data analytics beyond just generating static reports?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,2,30,2024-02-22 19:51:22,1549,0
QN1,QZ01,How does exploratory data analysis enhance decision-making in data analytics beyond just generating static reports?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,3,60,2024-01-16 03:24:40,1736,1
QN10,QZ01,How can anomaly detection in datasets improve decision-making during the initial stages of data analytics?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,1,40,2024-01-13 10:00:48,521,1
QN10,QZ01,How can anomaly detection in datasets improve decision-making during the initial stages of data analytics?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,2,30,2024-02-22 19:51:22,1549,1
QN10,QZ01,How can anomaly detection in datasets improve decision-making during the initial stages of data analytics?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,3,60,2024-01-16 03:24:40,1736,1
QN2,QZ01,How can outlier detection in data analytics enhance the accuracy of predictive models before visualization begins?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,1,40,2024-01-13 10:00:48,521,0
QN2,QZ01,How can outlier detection in data analytics enhance the accuracy of predictive models before visualization begins?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,2,30,2024-02-22 19:51:22,1549,0
QN2,QZ01,How can outlier detection in data analytics enhance the accuracy of predictive models before visualization begins?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,3,60,2024-01-16 03:24:40,1736,1
QN3,QZ01,How can data anomalies discovered during exploratory analysis impact the conclusions drawn in data analytics projects?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,1,40,2024-01-13 10:00:48,521,0
QN3,QZ01,How can data anomalies discovered during exploratory analysis impact the conclusions drawn in data analytics projects?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,2,30,2024-02-22 19:51:22,1549,0
QN3,QZ01,How can data anomalies discovered during exploratory analysis impact the conclusions drawn in data analytics projects?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,3,60,2024-01-16 03:24:40,1736,0
QN4,QZ01,How does exploratory data analysis (EDA) enhance the decision-making process before applying predictive models?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,1,40,2024-01-13 10:00:48,521,0
QN4,QZ01,How does exploratory data analysis (EDA) enhance the decision-making process before applying predictive models?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,2,30,2024-02-22 19:51:22,1549,0
QN4,QZ01,How does exploratory data analysis (EDA) enhance the decision-making process before applying predictive models?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,3,60,2024-01-16 03:24:40,1736,0
QN5,QZ01,How can data visualization enhance the interpretability of patterns in raw datasets during the initial stages of data analytics?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,1,40,2024-01-13 10:00:48,521,1
QN5,QZ01,How can data visualization enhance the interpretability of patterns in raw datasets during the initial stages of data analytics?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,2,30,2024-02-22 19:51:22,1549,1
QN5,QZ01,How can data visualization enhance the interpretability of patterns in raw datasets during the initial stages of data analytics?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,3,60,2024-01-16 03:24:40,1736,1
QN6,QZ01,How can data visualization uncover hidden patterns in raw data that traditional statistical summaries might miss?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,1,40,2024-01-13 10:00:48,521,0
QN6,QZ01,How can data visualization uncover hidden patterns in raw data that traditional statistical summaries might miss?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,2,30,2024-02-22 19:51:22,1549,0
QN6,QZ01,How can data visualization uncover hidden patterns in raw data that traditional statistical summaries might miss?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,3,60,2024-01-16 03:24:40,1736,0
QN7,QZ01,How can exploratory data analysis influence the choice of visualization methods in uncovering hidden patterns within a new dataset?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,1,40,2024-01-13 10:00:48,521,0
QN7,QZ01,How can exploratory data analysis influence the choice of visualization methods in uncovering hidden patterns within a new dataset?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,2,30,2024-02-22 19:51:22,1549,0
QN7,QZ01,How can exploratory data analysis influence the choice of visualization methods in uncovering hidden patterns within a new dataset?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,3,60,2024-01-16 03:24:40,1736,1
QN8,QZ01,How does focusing on data quality early in analytics impact the accuracy of visualized insights in decision-making processes?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,1,40,2024-01-13 10:00:48,521,1
QN8,QZ01,How does focusing on data quality early in analytics impact the accuracy of visualized insights in decision-making processes?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,2,30,2024-02-22 19:51:22,1549,1
QN8,QZ01,How does focusing on data quality early in analytics impact the accuracy of visualized insights in decision-making processes?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,3,60,2024-01-16 03:24:40,1736,1
QN9,QZ01,How does converting raw data into informative visuals improve insights during the initial phase of data analytics?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,1,40,2024-01-13 10:00:48,521,0
QN9,QZ01,How does converting raw data into informative visuals improve insights during the initial phase of data analytics?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,2,30,2024-02-22 19:51:22,1549,0
QN9,QZ01,How does converting raw data into informative visuals improve insights during the initial phase of data analytics?,Intro to Data Analytics,S01,DAVA,Data Visualization & Analytics,3,60,2024-01-16 03:24:40,1736,0
QN1,QZ01,How does exploratory data analysis enhance decision-making in data analytics beyond just generating static reports?,Intro to Data Analytics,S02,DAVA,Data Visualization & Analytics,1,50,2024-07-23 13:10:47,634,1
QN10,QZ01,How can anomaly detection in datasets improve decision-making during the initial stages of data analytics?,Intro to Data Analytics,S02,DAVA,Data Visualization & Analytics,1,50,2024-07-23 13:10:47,634,1
QN2,QZ01,How can outlier detection in data analytics enhance the accuracy of predictive models before visualization begins?,Intro to Data Analytics,S02,DAVA,Data Visualization & Analytics,1,50,2024-07-23 13:10:47,634,0
QN3,QZ01,How can data anomalies discovered during exploratory analysis impact the conclusions drawn in data analytics projects?,Intro to Data Analytics,S02,DAVA,Data Visualization & Analytics,1,50,2024-07-23 13:10:47,634,0
QN4,QZ01,How does exploratory data analysis (EDA) enhance the decision-making process before applying predictive models?,Intro to Data Analytics,S02,DAVA,Data Visualization & Analytics,1,50,2024-07-23 13:10:47,634,0
QN5,QZ01,How can data visualization enhance the interpretability of patterns in raw datasets during the initial stages of data analytics?,Intro to Data Analytics,S02,DAVA,Data Visualization & Analytics,1,50,2024-07-23 13:10:47,634,1
QN6,QZ01,How can data visualization uncover hidden patterns in raw data that traditional statistical summaries might miss?,Intro to Data Analytics,S02,DAVA,Data Visualization & Analytics,1,50,2024-07-23 13:10:47,634,0
QN7,QZ01,How can exploratory data analysis influence the choice of visualization methods in uncovering hidden patterns within a new dataset?,Intro to Data Analytics,S02,DAVA,Data Visualization & Analytics,1,50,2024-07-23 13:10:47,634,1
QN8,QZ01,How does focusing on data quality early in analytics impact the accuracy of visualized insights in decision-making processes?,Intro to Data Analytics,S02,DAVA,Data Visualization & Analytics,1,50,2024-07-23 13:10:47,634,1
QN9,QZ01,How does converting raw data into informative visuals improve insights during the initial phase of data analytics?,Intro to Data Analytics,S02,DAVA,Data Visualization & Analytics,1,50,2024-07-23 13:10:47,634,0
QN1,QZ01,How does exploratory data analysis enhance decision-making in data analytics beyond just generating static reports?,Intro to Data Analytics,S03,DAVA,Data Visualization & Analytics,1,60,2024-09-29 04:34:43,1572,1
QN1,QZ01,How does exploratory data analysis enhance decision-making in data analytics beyond just generating static reports?,Intro to Data Analytics,S03,DAVA,Data Visualization & Analytics,2,70,2024-10-08 06:00:43,967,1
